"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",6,1,910561,1,20,"statevec_initZeroStateDistributedKernel",1,2469968973831934,2469968985278528,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,2,20,"statevec_initZeroStateDistributedKernel",2,2469968985278528,2469968996390960,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,3,52,"statevec_pauliXKernel",3,2469968996390960,2469969017298062,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,4,14,"statevec_controlledNotKernel",4,2469969017298062,2469969045051543,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,5,14,"statevec_controlledNotKernel",5,2469969045051406,2469969073254288,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,6,14,"statevec_controlledNotKernel",6,2469969073254288,2469969099466723,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,7,14,"statevec_controlledNotKernel",7,2469969099466723,2469969120494665,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,8,14,"statevec_controlledNotKernel",8,2469969120494639,2469969136808926,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,9,14,"statevec_controlledNotKernel",9,2469969136808926,2469969152980732,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,10,14,"statevec_controlledNotKernel",10,2469969152980732,2469969168085016,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,11,14,"statevec_controlledNotKernel",11,2469969168085016,2469969188224994,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,12,14,"statevec_controlledNotKernel",12,2469969188225277,2469969203725123,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,13,14,"statevec_controlledNotKernel",13,2469969203725123,2469969218614967,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,14,14,"statevec_controlledNotKernel",14,2469969218614967,2469969233569411,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,15,14,"statevec_controlledNotKernel",15,2469969233572491,2469969248439975,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,16,14,"statevec_controlledNotKernel",16,2469969248443055,2469969263376420,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,17,14,"statevec_controlledNotKernel",17,2469969263376070,2469969278195513,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,18,14,"statevec_controlledNotKernel",18,2469969278195513,2469969293773637,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,19,14,"statevec_controlledNotKernel",19,2469969293773637,2469969308680480,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,20,14,"statevec_controlledNotKernel",20,2469969308680480,2469969323526923,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,21,14,"statevec_controlledNotKernel",21,2469969323526923,2469969338363406,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,22,14,"statevec_controlledNotKernel",22,2469969338363521,2469969353230484,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,23,14,"statevec_controlledNotKernel",23,2469969353230484,2469969368481448,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,24,14,"statevec_controlledNotKernel",24,2469969368481448,2469969383874253,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,25,14,"statevec_controlledNotKernel",25,2469969383874253,2469969399446098,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,26,14,"statevec_controlledNotKernel",26,2469969399446098,2469969415125224,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,27,14,"statevec_controlledNotKernel",27,2469969415125317,2469969431026444,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,28,14,"statevec_controlledNotKernel",28,2469969431026444,2469969447012090,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,29,14,"statevec_controlledNotKernel",29,2469969447015170,2469969463033897,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,30,14,"statevec_controlledNotKernel",30,2469969463036977,2469969479134585,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,31,14,"statevec_controlledNotKernel",31,2469969479137586,2469969495648914,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,32,14,"statevec_controlledNotKernel",32,2469969495648914,2469969512495043,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,33,14,"statevec_controlledNotKernel",33,2469969512498203,2469969528883891,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,34,13,"statevec_controlledNotDistributedKernel",34,2469970832399192,2469970845821714,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,35,13,"statevec_controlledNotDistributedKernel",35,2469971505955021,2469971514171525,0,0,128,1,1,2147483648,1,1
"KERNEL_DISPATCH",6,1,910561,36,52,"statevec_pauliXKernel",36,2469971514171525,2469971536648110,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,37,52,"statevec_pauliXKernel",37,2469971536648110,2469971558469694,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,38,52,"statevec_pauliXKernel",38,2469971558469755,2469971578611534,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,39,52,"statevec_pauliXKernel",39,2469971578611534,2469971598575112,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,40,52,"statevec_pauliXKernel",40,2469971598575112,2469971618610691,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,41,52,"statevec_pauliXKernel",41,2469971618610691,2469971638836870,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,42,52,"statevec_pauliXKernel",42,2469971638837281,2469971658872101,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,43,52,"statevec_pauliXKernel",43,2469971658872101,2469971676998675,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,44,52,"statevec_pauliXKernel",44,2469971676998675,2469971695269450,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,45,52,"statevec_pauliXKernel",45,2469971695269450,2469971714223907,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,46,52,"statevec_pauliXKernel",46,2469971714223475,2469971732298568,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,47,52,"statevec_pauliXKernel",47,2469971732298568,2469971750566901,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,48,52,"statevec_pauliXKernel",48,2469971750566901,2469971768746834,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,49,52,"statevec_pauliXKernel",49,2469971768746834,2469971787141688,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,50,52,"statevec_pauliXKernel",50,2469971787141769,2469971805224462,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,51,52,"statevec_pauliXKernel",51,2469971805224462,2469971823269034,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,52,52,"statevec_pauliXKernel",52,2469971823269034,2469971841312848,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,53,52,"statevec_pauliXKernel",53,2469971841312848,2469971859263861,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,54,52,"statevec_pauliXKernel",54,2469971859263892,2469971877341905,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,55,52,"statevec_pauliXKernel",55,2469971877341905,2469971895342197,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,56,52,"statevec_pauliXKernel",56,2469971895342197,2469971913394051,0,0,128,1,1,1073741824,1,1
"KERNEL_DISPATCH",6,1,910561,57,52,"statevec_pauliXKernel",57,2469971913394051,2469971931343664,0,0,128,1,1,1073741824,1,1
